,n,eps,D,kernel_size,kernel_size_n,kernel_size_theoric,nc_diag_prekernel,nc_diag_postkernel,removed_instances,max_removed
147,100,0.13333333333333333,100,9.79,0.09789999999999999,58.25866666666667,49.64,7.81,47.58,8.85
148,100,0.13333333333333333,150,24.29,0.24289999999999995,69.03666666666666,59.15,20.72,37.14,9.18
149,100,0.13333333333333333,200,38.94,0.38939999999999997,77.66133333333333,66.76,34.35,28.65,9.18
150,100,0.1,10,0.0,0.0,12.130999999999998,9.21,0.0,88.79,4.76
151,100,0.1,50,0.15,0.0015,38.421,33.11,0.12,64.88,7.98
152,100,0.1,100,5.54,0.0554,57.308000000000014,50.28,4.5,47.36,9.82
153,100,0.1,150,19.7,0.19699999999999998,68.36300000000001,60.33,16.99,36.5,10.28
154,100,0.1,200,30.75,0.3075,74.34700000000001,65.77,27.07,30.47,10.48
155,100,0.06666666666666667,10,0.0,0.0,11.834666666666667,9.22,0.0,88.78,4.77
156,100,0.06666666666666667,50,0.0,0.0,38.28799999999999,34.02,0.0,63.98,8.06
157,100,0.06666666666666667,100,1.46,0.0146,55.94133333333333,50.57,1.25,47.36,11.29
158,100,0.06666666666666667,150,6.21,0.06209999999999999,65.54133333333334,59.57,5.42,38.16,13.14
159,100,0.06666666666666667,200,16.69,0.16690000000000002,72.464,66.06,14.73,31.22,13.86
160,100,0.03333333333333333,10,0.0,0.0,11.413666666666664,9.11,0.0,88.89,4.63
161,100,0.03333333333333333,50,0.0,0.0,36.544333333333334,33.43,0.0,64.57,7.98
162,100,0.03333333333333333,100,0.0,0.0,54.08000000000001,50.4,0.0,47.6,12.67
163,100,0.03333333333333333,150,0.33,0.0033,62.98733333333334,59.02,0.3,38.97,15.49
164,100,0.03333333333333333,200,3.01,0.030100000000000002,70.08633333333333,65.89,2.77,32.03,19.51
165,500,1.0,50,88.07,0.17613999999999996,93.36,45.68,45.68,411.93,3.0
166,500,1.0,250,265.76,0.5315200000000001,335.38,166.69,166.69,234.24,3.0
167,500,1.0,500,354.02,0.70804,511.18,254.59,254.59,145.98,3.0
168,500,1.0,750,392.02,0.7840400000000001,610.9,304.45,304.45,107.98,3.0
169,500,1.0,1000,410.84,0.82168,672.84,335.42,335.42,89.16,3.0
170,500,0.3333333333333333,50,2.95,0.005900000000000001,63.06666666666667,45.8,1.67,451.66,4.98
171,500,0.3333333333333333,250,80.56,0.16111999999999999,225.26666666666668,167.45,62.27,314.26,5.0
172,500,0.3333333333333333,500,203.85,0.4077000000000001,338.52,252.39,167.89,211.65,5.0
173,500,0.3333333333333333,750,282.42,0.56484,408.5999999999999,304.95,241.89,154.52,5.0
174,500,0.3333333333333333,1000,327.13,0.6542599999999998,451.5733333333334,337.18,288.14,123.83,5.0
175,500,0.3,50,0.36,0.0007199999999999999,60.85099999999999,45.27,0.21,452.68,5.44
176,500,0.3,250,46.2,0.09239999999999997,220.699,168.23,36.77,322.34,6.0
